Season,Date submitted,Order number,Username,Order status,Due date,Charged,Charged amount,Charged by operator,Product name,Physical document,Copies,Paper size,Paper color,Paper type,Print color,Single or double sided,Binding,Stab binding Material,Saddle stitch binding Material,Saddle stitch binding Binding Edge,Stapling Position,Front cover,Front cover Print on cover,Back cover,Hole punching,Laminating,Cutting,Collating,Folding,Packaging,Material name,Material color,Print Information (DMC staff only) Square Inches,Print Information (DMC staff only) Printer,Print information Print mode,Print information Filament Weight (CLC/DMC Staff use only),Special Information (Operator Only) Job difficulty,Special Information (Operator Only) Machine,Delivery option,Delivery label,Delivery details,Proof required,Total color pages,Total grayscale pages
Fall 2025,12/8/2025 12:30,27238.0,phpa1567,Completed - Ready For Pickup,12/9/2025,Yes,$1.36 ,eeto3049,Document,No,1.0,Tabloid (11 x 17),White,Cardstock,Color,Single sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,5.0,0.0
Fall 2025,12/8/2025 10:52,27237.0,miba2167,Completed - Ready For Pickup,12/9/2025,Yes,$0.00 ,amco3931,Booklet,No,1.0,Letter,White,24lb Bond,Color,,No binding,,,,,No Cover,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,14.0,2.0
Fall 2025,12/8/2025 10:21,27236.0,erke6790,Completed - Ready For Pickup,12/9/2025,Yes,$0.46 ,eeto3049,Document,No,1.0,Tabloid (11 x 17),White,Generic Printer Paper,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/7/2025 22:36,27235.0,dafe4501,Completed - Ready For Pickup,12/9/2025,Yes,$5.64 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 15:25,27233.0,gast2201,Waiting For Response,12/10/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,Standard,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/5/2025 15:23,27232.0,gast2201,Waiting For Response,12/10/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,Standard,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/5/2025 15:21,27231.0,gast2201,Waiting For Response,12/10/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,Standard,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/5/2025 13:37,27230.0,coca5521,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 13:30,27229.0,segu8957,Completed - Ready For Pickup,12/8/2025,Yes,$0.98 ,macl5840,Document,No,3.0,Letter (8.5 x 11),White,Cardstock,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 12:50,27227.0,anro6634,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 12:45,27226.0,elda3076,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 12:44,27225.0,mawr8720,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,assh2097,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 12:40,27224.0,emva9313,Completed - Ready For Pickup,12/8/2025,Yes,$0.87 ,bhvi9697,Document,No,4.0,Letter (8.5 x 11),White,Cardstock,Grayscale,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 12:29,27223.0,akto2105,Completed - Ready For Pickup,12/8/2025,Yes,$4.91 ,bhvi9697,Document,No,15.0,Letter (8.5 x 11),White,Cardstock,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,12.0,0.0
Fall 2025,12/5/2025 12:29,27222.0,vica5779,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 12:16,27221.0,akto2105,Completed - Ready For Pickup,12/8/2025,Yes,$0.57 ,bhvi9697,Document,No,2.0,Letter (8.5 x 11),White,Generic Printer Paper,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 12:06,27220.0,akto2105,Completed - Ready For Pickup,12/8/2025,Yes,$0.33 ,bhvi9697,Document,No,1.0,Letter (8.5 x 11),White,Cardstock,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 11:51,27219.0,laom7968,Completed - Ready For Pickup,12/8/2025,Yes,$2.82 ,macl5840,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
